isolate_code,New_labeling,source,Had_a_partner?,Glycerol_Foud,Morphology (Sohini),Mariale (found),Morphology (Mariale),Re-purification (Only P/R plates),Re-purification date,TY,TY date,Glycerol,Glycerol date,DNA pellet,DNA pellet date,DNA extraction,DNA extraction date,Quantity DNA,260/280,260/230,Replaced Glycerol/DNA pellet,Sample vol,Total DNA ,Amount of DNA in 20ul,Qubit reading (initial),Volume after speedvac,ng/ul,Half concentration. Read bottom,ng/ul ,Summary concenration (ng/ul),Used for inoculation,Total DNA,Strain Code,Strain,Var_origin
P30_A1,AVT_SN_60,S_N_YMB_D5,no,,,yes,P/R,Yes (rhizo),12/8/22,,,yes,1/28/23,yes ,1/28/23,,7/10/23,96.7,1.6,0.7,,50,4835,1934,,16,,30,60,60,Yes,960,_60,060,S
P12_G11*,AVT_VN_62,V_N_YMB_D5,no,yes,R/P,,,Yes (rhizo) (partner),"(11/28/2022), (12/01/2022)",Yes (rhizo),11/30/22,yes ,2/21/23,yes ,2/21/23,,7/10/23,59.6,1.92,1.88,Replaced glycerol,50,2980,1192,,22,,44,88,88,Yes,1936,_62,062,V
P12_G12,AVT_VN_63,V_N_YMB_D5,no,yes,P/R ,,,"yes (rhizo, partner)",11/30/22,yes (rhizo),12/5/22,Yes,12/7/22,Yes,12/7/22,,7/12/22,69.6,1.93,1.68,,100,6960,1392,,33,,30.5,61,61,Yes,2013,_63,063,V
P12_G9,AVT_VN_64,V_N_YMB_D5,yes,not streaked,,yes,P/R,"yes (rhizo, partner)",12/8/22,,,Yes,1/3/23,yes ,1/3/23,,1/15/23,36.3,1.94,1.89,,100,3630,726,,33,,52,104,104,Yes,3432,_64,064,V
P12_H10,AVT_VN_65,V_N_YMB_D5,yes,yes,P/R,,,"yes (rhizo, partner)",12/1/22,yes (rhizo),12/9/22,yes,12/11/22,yes,12/11/22,,7/26/23,7.3,1.9,1.2,,100,730,146,,32,,14.4,28.8,28.8,Yes,921.6,_65,065,V
P12_H8,AVT_VN_67,V_N_YMB_D5,,,,,,,,,,yes,1/28/23,yes ,1/28/23,,#REF!,77.5,1.87,1.86,,50,3875,1550,,20,,42.5,85,85,Yes,1700,_67,067,V
P12_H6,AVT_VN_68,V_N_YMB_D5,no,yes,overgrown,yes,P/R,"yes (rhizo, partner)",12/8/22,,,yes,1/27/23,yes ,1/27/23,,#REF!,21.2,1.75,1.3,,50,1060,424,,20,,14.5,29,29,Yes,580,_68,068,V
P12_H7,AVT_VN_69,V_N_YMB_D5,yes,yes,overgrown,yes,P/R,"yes (rhizo, partner)",12/8/22,Yes (rhizo) ,12/14/22,yes ,12/17/22,yes ,12/17/22,,1/15/23,34.3,1.93,1.95,,100,3430,686,,37,,27.4,54.8,54.8,Yes,2027.6,_69,069,V
P13_A12,AVT_VN_70,V_N_YMB_D5,no,yes,overgrown,yes,P/R,"Yes (rhizo, partner)",12/8/22,Yes (rhizo) ,12/14/22,yes ,12/17/22,yes,12/17/22,,1/15/23,43.5,1.89,1.8,,100,4350,870,,37,,53,106,106,Yes,3922,_70,070,V
P13_A3,AVT_VN_71,V_N_YMB_D5,no,yes,P/R,,,yes (rhizo),11/30/22,Yes (rhizo),12/5/22,yes,12/7/22,yes,12/7/22,,1/26/23,21,2.28,-11.44,,100,2100,420,,20,,37.8,75.6,75.6,Yes,1512,_71,071,V
P13_A7,AVT_VN_72,V_N_YMB_D5,no,yes,P/R (overgrown),yes,,"yes (rhizo, partner)",12/8/22,,,yes,1/27/23,yes ,1/27/23,,#REF!,32.8,1.88,2.16,,50,1640,656,,20,,18,36,36,Yes,720,_72,072,V
P13_A9,AVT_VN_73,V_N_YMB_D5,no,yes,P/R ,,,"Yes (rhizo, partner)",12/2/22,Yes (partner),12/6/22,yes,1/27/23,yes ,1/27/23,,#REF!,13.7,1.84,2.83,,50,685,274,,18,,10.4,20.8,20.8,Yes,374.4,_73,073,V
P13_B12,AVT_VN_74,V_N_YMB_D5,no,yes,Overgrown,yes,,,,yes (rhizo),12/8/22,yes,12/11/22,yes,12/11/22,,7/10/23,46.4,1.96,1.95,,50,2320,928,,19,,36.8,73.6,73.6,Yes,1398.4,_74,074,V
P13_B7,AVT_VN_75,V_N_YMB_D5,no,yes,,yes,Resterak P/R no isolation. Rhizo again,,,,,yes,1/28/23,yes ,1/28/23,,#REF!,58.1,1.8,1.33,,50,2905,1162,,20,,44.2,88.4,88.4,Yes,1768,_75,075,V
P13_C1,AVT_VN_76,V_N_YMB_D5,yes,yes,,,,,,yes,11/30/22,yes,12/5/22,yes,12/5/22,,#REF!,35.8,1.94,1.45,,100,3580,716,,23,,9.36,18.72,18.72,Yes,430.56,_76,076,V
P13_A11,AVT_VN_77,V_N_YMB_D5,,,,,,,,,,yes,1/28/23,yes ,1/28/23,,#REF!,38.3,1.82,1.56,,100,3830,766,,20,,60,120,120,Yes,2400,_77,077,V
P13_C3,AVT_VN_78,V_N_YMB_D5,no,yes,P/R,,,"yes (rhizo, partner)",11/30/22,Yes (rhizo),12/5/22,yes,12/7/22,yes,12/7/22,,7/12/22,154.2,1.92,2.1,,50,7710,3084,,20,,30.6,61.2,61.2,Yes,1224,_78,078,V
P13_C6,AVT_VN_79,V_N_YMB_D5,yes,yes,P/R (overgrown),yes,,,,yes(rhizo),12/8/22,yes ,"Sunday, December 11, 2022",yes,12/11/22,,7/12/22,19.9,1.97,1.57,,100,1990,398,,27,,23.3,46.6,46.6,Yes,1258.2,_79,079,V
P13_D11,AVT_VN_80,V_N_YMB_D5,no,yes,P/R (overgrown),yes,P/R,"Yes (rhizo, partner)",12/10/22,,,yes,1/9/23,yes ,1/9/23,,1/15/23,21.5,1.87,1.4,,100,2150,430,,50,,15.6,31.2,31.2,Yes,1560,_80,080,V
P13_D3,AVT_VN_81,V_N_YMB_D5,no,yes,P/R,,,yes(rhizo),12/2/22,Yes (rhizo),12/8/22,yes,12/11/22,yes,12/11/22,,7/12/22,26.5,1.95,1.27,,100,2650,530,,50,,15.5,31,31,Yes,1550,_81,081,V
P13_D4,AVT_VN_82,V_N_YMB_D5,yes,yes,P/R (overgrown),yes,,,,,,yes,12/11/22,yes,12/11/22,,7/12/22,79.9,1.79,1.04,,100,7990,1598,,26,,too high,#VALUE!,too high,Yes,#VALUE!,_82,082,V
P13_D6,AVT_VN_83,V_N_YMB_D5,no,yes,Overgrown,yes,Good,,,Yes (rhizo) ,12/10/22,yes,12/14/22,yes,12/14/22,,1/15/23,52.7,1.89,1.8,,100,5270,1054,,40,,36.7,73.4,73.4,Yes,2936,_83,083,V
P13_D8,AVT_VN_84,V_N_YMB_D5,yes,yes,overgrown,yes,,,,yes(rhizo),12/8/22,yes,12/11/22,yes,12/11/22,,7/12/22,25.8,2.02,2.12,,100,2580,516,,26,,32.6,65.2,65.2,Yes,1695.2,_84,084,V
P13_E1,AVT_VN_85,V_N_YMB_D5,yes,yes,overgrown,yes,P/R,"yes (rhizo, partner)",12/8/22,,,yes,12/21/22,yes ,12/21/22,,12/20/22,31.9,1.9,1.56,,100,3190,638,,28,,41.4,82.8,82.8,Yes,2318.4,_85,085,V
P13_E3,AVT_VN_86,V_N_YMB_D5,no,yes,P/R,,,"yes (rhizo, partner)",12/2/22,,,yes,1/6/23,yes,1/6/23,,12/20/22,29.9,1.92,1.82,,100,2990,598,,30,,43.8,87.6,87.6,Yes,2628,_86,086,V
P13_E9,AVT_VN_87,V_N_YMB_D5,no,done twice,,yes,,,,Yes,12/1/22,Yes,12/5/22,Yes,12/5/22,,#REF!,114.2,1.76,1.14,,100,11420,2284,,20,,26.5,53,53,Yes,1060,_87,087,V
P13_F2,AVT_VN_88,V_N_YMB_D5,yes,yes,overgrown,yes,,,,Yes (rhizo),12/7/22,yes,12/11/22,yes,12/11/22,,7/12/22,40.6,1.83,1.37,,100,4060,812,,30,,52,104,104,Yes,3120,_88,088,V
P13_G2*,AVT_VN_89,V_N_YMB_D5,no,yes,overgrown,yes,Good,,,Yes (rhizo),12/7/22,yes,12/11/22,yes,12/11/22,,7/12/22,32.2,1.98,2.1,,100,3220,644,,26,,27.6,55.2,55.2,Yes,1435.2,_89,089,V
P13_G4,AVT_VN_90,V_N_YMB_D5,no,yes,overgrown,yes,Good,,,Yes (rhizo) ,12/10/22,yes,12/14/22,yes,12/14/22,,12/20/22,34.3,1.91,1.76,,100,3430,686,,20,,40.3,80.6,80.6,Yes,1612,_90,090,V
P10_E7,AVT_ON_91,O_N_YMB_D5,,,,Yes,,,,Yes (rhizo) ,12/14/22,yes ,2/26/23,yes ,2/26/23,,#REF!,52.7,1.58,0.72,,100,5270,1054,,20,,30.2,60.4,60.4,Yes,1208,_91,091,O
P1_G7,AVT_SN_92,S_N_YMB_D5,,,,Yes,,,,,,yes,12/21/22,yes ,12/21/22,,12/20/22,8,1.91,2.26,,100,800,160,,25,,21.1,42.2,42.2,Yes,1055,_92,092,S
P29_H1,AVT_SN_93,S_N_YMB_D5,,,,yes,,,,Yes (rhizo) ,12/17/22, ,12/21/22,yes ,12/21/22,,12/20/22,38.6,1.88,1.52,,100,3860,772,,25,,52,104,104,Yes,2600,_93,093,S
P29_H3,AVT_SN_94,S_N_YMB_D5,,,,yes,,,,Yes (rhizo) ,12/14/22,yes,12/17/22,yes,12/17/22,,12/20/22,38.6,1.88,1.52,,100,3860,772,,25,,too high,#VALUE!,too high,Yes,#VALUE!,_94,094,S
P12_H4,AVT_VN_95,V_N_YMB_D5,,,,,,,,Yes (rhizo) ,12/14/22,yes,12/17/22,yes,12/17/22,,12/20/22,27,1.94,1.93,,100,2700,540,,37,,34.6,69.2,69.2,Yes,2560.4,_95,095,V
P13_D12,AVT_VN_96,V_N_YMB_D5,,,,,,,,Yes (rhizo) ,12/14/22,yes,12/17/22,yes,12/17/22,,12/20/22,30.8,1.83,1.5,,100,3080,616,,37,,29.8,59.6,59.6,Yes,2205.2,_96,096,V
P10_E1_P,AVT_ON_97,O_N_YMB_D5,no,,,,,,,,,yes,1/27/23,yes ,1/27/23,,#REF!,27.9,1.96,2.44,,50,1395,558,,19,,23.1,46.2,46.2,Yes,877.8,_97,097,O
P10_G5_P,AVT_ON_98,O_N_YMB_D5,no,,,,,,,,,yes,1/27/23,yes ,1/27/23,,#REF!,18.3,1.76,1.07,,100,1830,366,,20,,11.4,22.8,22.8,Yes,456,_98,098,O
P10_D7_P,AVT_ON_99,O_N_YMB_D5,no,,,,,,,,,yes,1/27/23,yes ,1/27/23,,#REF!,50.4,1.88,1.92,,50,2520,1008,,20,,38.9,77.8,77.8,Yes,1556,_99,099,O
P10_D9_P,AVT_ON_100,O_N_YMB_D5,no,,,,,,,,,yes,1/27/23,yes ,1/27/23,,#REF!,31.5,1.84,1.94,,50,1575,630,,,,,0,0,Yes,0,100,100,O
P10_E7_P,AVT_ON_101,O_N_YMB_D5,no,,,,,,,,,yes,1/27/23,yes ,1/27/23,,#REF!,39.6,1.87,1.81,,50,1980,792,,20,,27.5,55,55,Yes,1100,101,101,O
P10_D1_P,AVT_ON_102,O_N_YMB_D5,no,,,,,,,,,yes ,2/21/23,yes ,2/21/23,,#REF!,24.5,2.13,3.47,,50,1225,490,,24,,17.7,35.4,35.4,Yes,849.6,102,102,O
P10_A10_P,AVT_ON_103,O_N_YMB_D5,no,,,,,,,,,yes ,2/21/23,yes ,2/21/23,,#REF!,56.7,1.79,1.36,,50,2835,1134,,25,,38,76,76,Yes,1900,103,103,O
P10_A5_P,AVT_ON_104,O_N_YMB_D5,no,,,,,,,,,yes ,2/21/23,yes ,2/21/23,,#REF!,91.7,2.03,2.21,,50,4585,1834,,25,,24.2,48.4,48.4,Yes,1210,104,104,O
P10_E11_P,AVT_ON_105,O_N_YMB_D5,no,,,,,,,,,yes ,2/21/23,yes ,2/21/23,,#REF!,82.2,1.9,1.85,,50,4110,1644,,23,,48.3,96.6,96.6,Yes,2221.8,105,105,O
P1_G7_P,AVT_SN_106,S_N_YMB_D5,no,,,,,,,,,yes,1/27/23,yes ,1/27/23,,#REF!,28,1.78,1.5,,100,2800,560,,22,,18.3,36.6,36.6,Yes,805.2,106,106,S
P29_H1_P,AVT_SN_107,S_N_YMB_D5,no,,,,,,,,,yes,1/27/23,yes ,1/27/23,,#REF!,25.3,1.78,1.68,,50,1265,506,,25,,8.17,16.34,16.34,Yes,408.5,107,107,S
P29_H3_P,AVT_SN_108,S_N_YMB_D5,no,,,,,,,,,yes,1/27/23,yes ,1/27/23,,#REF!,45.6,1.87,2.06,,50,2280,912,,25,,21.4,42.8,42.8,Yes,1070,108,108,S
P5_C7_P,AVT_SN_109,S_N_R2A_D5,no,,,,,,,,,yes ,2/22/23,yes ,2/22/23,,#REF!,62,1.63,0.76,,50,3100,1240,,25,,40.2,80.4,80.4,Yes,2010,109,109,S
P5_E7_P,AVT_SN_110,S_N_R2A_D5,no,,,,,,,,,yes ,2/21/23,yes ,2/21/23,,#REF!,59,1.95,1.51,,50,2950,1180,,25,,20.7,41.4,41.4,Yes,1035,110,110,S
P29_B7_P,AVT_SN_111,S_N_YMB_D5,no,,,,,,,,,yes ,2/21/23,yes ,2/21/23,,#REF!,182.3,1.99,1.67,,50,9115,3646,,25,,24.8,49.6,49.6,Yes,1240,111,111,S
P29_D2_P,AVT_SN_112,S_N_YMB_D5,no,,,,,,,,,yes ,2/21/23,yes ,2/21/23,,#REF!,300.5,2.11,2.24,,50,15025,6010,,25,,17.2,34.4,34.4,Yes,860,112,112,S
P5_F7_P,AVT_SN_113,S_N_YMB_D5,no,,,,,,,,,yes ,2/25/23,yes ,2/25/23,,#REF!,60.5,1.96,2.15,,50,3025,1210,,25,,31,62,62,Yes,1550,113,113,S
P5_F12_P,AVT_SN_114,S_N_R2A_D5,no,,,,,,,,,yes ,2/21/23,yes ,2/21/23,,#REF!,67,1.88,1.85,,50,3350,1340,,25,,37.7,75.4,75.4,Yes,1885,114,114,S
P12_H4_P,AVT_VN_115,V_N_YMB_D5,no,,,,,,,,,yes ,2/21/23,yes ,2/21/23,,#REF!,73.6,1.471,1.87,,50,3680,1472,,25,,43.1,86.2,86.2,Yes,2155,115,115,V
P13_D12_P,AVT_VN_116,V_N_YMB_D5,no,,,,,,,,,yes ,2/21/23,yes ,2/21/23,,#REF!,50.7,1.93,2.07,,50,2535,1014,,25,,39.2,78.4,78.4,Yes,1960,116,116,V
P13_E3_P,AVT_VN_117,V_N_YMB_D5,no,,,,,,,,,yes ,2/21/23,yes ,2/21/23,,#REF!,231.9,2.02,2.15,,50,11595,4638,,25,,40.9,81.8,81.8,Yes,2045,117,117,V
P13_C3_P,AVT_VN_118,V_N_YMB_D5,no,,,,,,,,,yes ,2/21/23,yes ,2/21/23,,#REF!,68.9,1.9,1.9,,50,3445,1378,,25,,36.1,72.2,72.2,Yes,1805,118,118,V
P13_A9_P,AVT_VN_119,V_N_YMB_D5,no,,,,,,,,,yes ,2/21/23,yes ,2/21/23,,#REF!,59.8,1.94,2.15,,50,2990,1196,,25,,28.4,56.8,56.8,Yes,1420,119,119,V
P12_G11_P,AVT_VN_120,V_N_YMB_D5,no,,,,,,,,,yes ,2/21/23,yes ,2/21/23,,#REF!,63.9,1.89,2.06,,50,3195,1278,,25,,35.7,71.4,71.4,Yes,1785,120,120,V
P14_D3_P,AVT_VN_121,V_N_R2A_D5,no,,,,,,,,,yes ,2/22/23,yes ,2/22/23,,#REF!,32,1.95,2.4,,50,1600,640,,25,,19,38,38,Yes,950,121,121,V
P14_H1_P,AVT_VN_122,V_N_R2A_D5,no,,,,,,,,,yes ,2/21/23,yes ,2/21/23,,#REF!,59.7,1.93,2.07,,50,2985,1194,,25,,38,76,76,Yes,1900,122,122,V
P14_F7_P,AVT_VN_123,V_N_R2A_D5,no,,,,,,,,,yes ,2/21/23,yes ,2/21/23,,#REF!,77.6,1.9,1.88,,50,3880,1552,,25,,too high,#VALUE!,too high,Yes,#VALUE!,123,123,V
E8,AVT_CB_EXC,,,,,,,,,,,,,,,,#REF!,49,1.89,1.65,,50,2450,980,,25,,24.2,48.4,48.4,Yes,1210,EXC,EXC,
N2,AVT_CB_NIG,,,,,,,,,,,,,,,,#REF!,50.1,1.97,2.29,,50,2505,1002,,25,,27.3,54.6,54.6,Yes,1365,NIG,NIG,
P29_B10,AVT_SN_36,S_N_YMB_D5,no,Glycerol not found,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,
P29_B5,AVT_SN_40,S_N_YMB_D5,no,yes,Overgrown,yes,P/R,Yes (rhizo) ,12/9/22,,,,,,,,,,,,,,,0,,,,,0,,,,,,
P29_E12,AVT_SN_51,S_N_YMB_D5,no,yes,P/R (overgrown),yes,P/R,"yes(rhizo,partner), rhizo again","12/8/2022, 12/17/2022",,,yes,1/28/23,yes ,1/28/23,,,,,,,,,0,,,,,0,,,,,,
P12_E5,AVT_VN_61,V_N_YMB_D5,,Glycerol not found,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
P12_H2,AVT_VN_66,V_N_YMB_D5,no,yes,,glycerol not found,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,
,AVT_CB_TRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P10_G1,AVT_ON_27,O_N_YMB_D5,no,yes,Overgrown,yes,P/R,"Yes (rhizo), rhizo again","12/9/2022, 12/17/22",,,yes,1/3/22,yes ,1/3/22,,,17.9,1.59,0.74,,100,1790,358,,20,,39.7,79.4,79.4,NO,,,,