Plant,Nodule,Ind.Label,Nodule.area,Nodule.lobes,dilution.counted,spot.1,spot.2,spot.3,spot.4,spot.5,spot.avg,Counted by,Comments,Lianas rhizobia released per nodule calculation,Morphology
077.S.c,6,077.S.c.6,0.073,3,,,,,,,#DIV/0!,SG,Conta+no growth,#DIV/0!,R
077.V.a,1,077.V.a.1,0.015,1,,,,,,,#DIV/0!,SG,NO GROWTH,#DIV/0!,R
077.V.a,2,077.V.a.2,0.028,2,3,6,5,4,6,1,4.4,SG,,22000,R
077.V.a,3,077.V.a.3,0.028,1,5,3,2,1,0,0,1.2,SG,MERGED,600000,R
077.V.a,4,077.V.a.4,0.053,2,5,6,3,3,3,3,3.6,SG,,1800000,R
077.V.a,5,077.V.a.5,0.068,2,5,14,11,9,9,13,11.2,SG,,5600000,R
077.V.a,6,077.V.a.6,0.097,5,5,4,3,4,1,6,3.6,SG,,1800000,R
077.V.b,1,077.V.b.1,0.024,1,3,29,12,23,12,MERGED,19,SG,,95000,R
077.V.b,2,077.V.b.2,0.029,1,3,9,10,13,13,7,10.4,SG,,52000,R
077.V.b,3,077.V.b.3,0.049,4,3,2,1,0,0,,0.75,SG,,3750,R
077.V.b,4,077.V.b.4,0.062,2,5,8,12,4,11,6,8.2,SG,,4100000,R
077.V.b,5,077.V.b.5,0.053,2,,,,,,,#DIV/0!,SG,MERGED,#DIV/0!,R
077.V.b,6,077.V.b.6,0.125,More than 5,5,16,13,13,13,13,13.6,SG,,6800000,R
077.V.c,1,077.V.c.1,0.014,1,3,3,13,10,11,10,9.4,SG,,47000,R
077.V.c,2,077.V.c.2,0.014,1,,,,,,,#DIV/0!,,,#DIV/0!,R
077.V.c,3,077.V.c.3,0.015,1,4,4,5,5,3,3,4,SG,,200000,R
077.V.c,4,077.V.c.4,0.032,3,,,,,,,#DIV/0!,SG,Further incubation,#DIV/0!,R
077.V.c,5,077.V.c.5,0.035,2,5,1,5,1,5,1,2.6,SG,,1300000,R
077.V.c,6,077.V.c.6,0.065,3,6,8,9,12,7,6,8.4,SG,,42000000,R
112.O.a,1,112.O.a.1,0.02,1,4,7,9,20,13,19,13.6,MAG,,680000,P
112.O.a,2,112.O.a.2,0.018,1,4,20,12,17,18,22,17.8,MAG,,890000,P
112.O.a,3,112.O.a.3,0.037,1,4,64,54,58,68,m,61,MAG,,3050000,P
112.O.a,4,112.O.a.4,0.054,3,6,2,6,1,1,3,2.6,MAG,,13000000,P
112.O.a,5,112.O.a.5,0.126,more than 5,5,c,c,15,c,c,15,MAG,,7500000,P
112.O.a,6,112.O.a.6,0.172,more than 5,NA,NA,NA,NA,NA,NA,#DIV/0!,,"The contamination in dil5 is covering all the dots. I don't see rhizo in dil6, but very few contaminants there. I plated dil5 in big plate but I can't distinguish contamination from partner, everything looks like contaminatoin ",#DIV/0!,P
112.O.b,1,112.O.b.1,0.011,1,,,,,,,#DIV/0!,,looks clean but needs dil5. spot,#DIV/0!,P
112.O.b,2,112.O.b.2,0.045,1,6,5,8,8,6,3,6,,"Not sure if it s contamination or rhizobia, but needs dil5",30000000,P
112.O.b,3,112.O.b.3,0.034,2,5,26,27,33,22,26,26.8,,"Not sure if it s contamination or rhizobia, but needs dil5",13400000,P
112.O.b,4,112.O.b.4,0.09,5,6,c,27,25,23,25,25,MAG,The fact that i am not seeing colonies in O.b.5 and O.b.6 is making me doubt. Are these rhizo? Replate 4,125000000,P
112.O.b,5,112.O.b.5,0.074,4,,,,,,,#DIV/0!,,I don't see colonies in dil6,#DIV/0!,P
112.O.b,6,112.O.b.6,0.188,more than 5,7,1,3,1,1,1,1.4,,I don't see colonies in dil6 or dil5. I plated dil7 and found very few rhizo and very few contaminants,70000000,P
112.O.c,1,112.O.c.1,0.007,1,2,NA,NA,NA,NA,NA,#DIV/0!,,"There is contamination, and very few rhizobia. Dil2 in bigger plate. Dil2 empty. This is weird considering i saw some rhizobia previously in dil?3. Maybe the dilution Was not good after the long storage",#DIV/0!,P
112.O.c,2,112.O.c.2,0.028,1,3,39,33,35,27,18,30.4,MAG,,152000,P
112.O.c,3,112.O.c.3,0.035,2,3,12,5,8,3,5,6.6,MAG,,33000,P
112.O.c,4,112.O.c.4,0.053,3,,,,,,,#DIV/0!,,"I don't see rhizo in dil5, but yes a contaminant. Try dil4 in bigger plate?",#DIV/0!,P
112.O.c,5,112.O.c.5,0.097,4,,,,,,,#DIV/0!,,"Few contaminants in dil5, not rhizo. Maybe try dil4 in bigger plate",#DIV/0!,P
112.O.c,6,112.O.c.6,0.126,more than 5,5,3,0,4,1,1,1.8,MAG,,900000,P
112.S.a,1,112.S.a.1,0.012,1,4,10,6,5,7,8,7.2,MAG,,360000,P
112.S.a,2,112.S.a.2,0.015,1,4,15,21,24,15,16,18.2,MAG,,910000,P
112.S.a,3,112.S.a.3,0.035,1,4,48,46,37,35,31,39.4,MAG,,1970000,P
112.S.a,4,112.S.a.4,0.035,2,4,NA,NA,NA,NA,NA,#DIV/0!,,I can see a few rhizo in contamination. Plate dil4 in bigger plate. I plated dil4 in bigger plate but I only see contamination and no rhizo,#DIV/0!,P
112.S.a,5,112.S.a.5,0.036,2,NA,NA,NA,NA,NA,NA,#DIV/0!,,"I see contamination on both dilutions, not rhizo. Plate dil4. I plated dil5 in a bigger plate but I only see contaminats growing",#DIV/0!,P
112.S.a,6,112.S.a.6,0.152,more than 5,6,8,6,6,6,3,5.8,,Countable through contamination,29000000,P
112.S.b,1,112.S.b.1,0.014,1,2,NA,NA,NA,NA,NA,#DIV/0!,,"There is contamination in Dil3, and very few rhizobia. Dil2 in bigger plate. I plated Dil2 and didn't get anything, probably problems with long storage",#DIV/0!,P
112.S.b,2,112.S.b.2,0.017,1,2,0,NA,NA,NA,NA,0,,"There is contamination, and very few rhizobia. Dil2 in bigger plate. Dil2 empty. This is weird considering i saw some rhizobia previously in dil?3. Maybe the dilution Was not good after the long storage",0,P
112.S.b,3,112.S.b.3,0.02,1,4,4,9,8,7,12,8,MAG,,400000,P
112.S.b,4,112.S.b.4,0.064,2,5,1,5,2,c,0,2,MAG,Counted through contamination,1000000,P
112.S.b,5,112.S.b.5,0.117,3,5,5,10,9,5,4,6.6,MAG,,3300000,P
112.S.b,6,112.S.b.6,0.074,3,5,0,3,1,1,2,1.4,MAG,,700000,P
112.S.c,1,112.S.c.1,0.009,1,3,4,1,4,3,2,2.8,MAG,,14000,P
112.S.c,2,112.S.c.2,0.016,1,3,27,17,9,20,19,18.4,MAG,,92000,P
112.S.c,3,112.S.c.3,0.032,2,4,12,12,9,NA,NA,11,MAG,"These NA are from dilution mistakes I made, I added 100ul by mistake. ",550000,P
112.S.c,4,112.S.c.4,0.063,1,5,C,28,20,c,c,24,MAG,,12000000,P
112.S.c,5,112.S.c.5,0.088,5,,,,,,,#DIV/0!,,Plate dil5 in a bigger plate,#DIV/0!,P
112.S.c,6,112.S.c.6,0.061,3,5,47,48,40,51,48,46.8,MAG,,23400000,P
112.V.a,1,112.V.a.1,0.01,1,1,10,12,12,13,14,12.2,,Try dil2 in spot,610,P
112.V.a,2,112.V.a.2,0.022,1,3,19,18,23,13,18,18.2,MAG,,91000,P
112.V.a,3,112.V.a.3,0.037,2,3,44,40,49,53,42,45.6,MAG,,228000,P
112.V.a,4,112.V.a.4,0.028,1,4,2,4,2,2,0,2,,"Few rhizo in dil5, but looks clean. Plate dil4 spot. In dil5 looks 1,1,3,2,0",100000,P
112.V.a,5,112.V.a.5,0.048,4,5,NA,NA,NA,NA,NA,#DIV/0!,,see few rhizo in dil5 and few contaminants. Try dil 4 in bigger plate. Dil 5 was plated in bigger plate and I didn't see any rhizo. Probably because the dilutions were stored for a long time ,#DIV/0!,P
112.V.a,6,112.V.a.6,0.07,2,5,5,4,4,5,1,3.8,MAG,Countable through contamination,1900000,P
112.V.b,1,112.V.b.1,0.012,1,3,2,3,2,3,1,2.2,MAG,,11000,P
112.V.b,2,112.V.b.2,0.014,1,,,,,,,#DIV/0!,,"I don't see rhizo in dil3, but yes contaminatns. Maybe try dil2 in bigger plate",#DIV/0!,P
112.V.b,3,112.V.b.3,0.025,1,4,6,4,5,2,4,4.2,MAG,,210000,P
112.V.b,4,112.V.b.4,0.02,2,,,,,,,#DIV/0!,,Clean plate. Maybe try dil4 spot,#DIV/0!,P
112.V.b,5,112.V.b.5,0.063,1,5,c,2,3,3,c,2.666666667,,Countable through contamination,1333333.333,P
112.V.b,6,112.V.b.6,0.108,5,,,,,,,#DIV/0!,,"Countable through contamination. But it looks like there is 13 and 10 in dil5, but I can see a bunch in dil6. So I will let it grow slightly more",#DIV/0!,P
112.V.c,1,112.V.c.1,0.006,1,3,1,6,1,4,3,3,MAG,,15000,P
112.V.c,2,112.V.c.2,0.009,1,3,17,14,12,19,15,15.4,MAG,,77000,P
112.V.c,3,112.V.c.3,0.026,2,3,6,7,7,3,C,5.75,MAG,,28750,P
112.V.c,4,112.V.c.4,0.037,2,5,5,2,4,7,7,5,MAG,,2500000,P
112.V.c,5,112.V.c.5,0.036,3,5,5,3,5,2,2,3.4,MAG,,1700000,P
112.V.c,6,112.V.c.6,0.098,4,5,c,3,6,6,6,5.25,MAG,Countable through contamination,2625000,P
117.O.a,1,117.O.a.1,0.022,1,4,64,56,47,54,41,52.4,MAG,,2620000,P
117.O.a,2,117.O.a.2,0.034,2,,,,,,,#DIV/0!,,"Massive contamination in both dilutions. Try dil 5, spot?.",#DIV/0!,P
117.O.a,3,117.O.a.3,0.046,3,4,35,21,26,35,26,28.6,MAG,,1430000,P
117.O.a,4,117.O.a.4,0.052,more than 5,5,6,6,5,13,9,7.8,MAG,,3900000,P
117.O.a,5,117.O.a.5,0.078,3,5,29,23,23,23,20,23.6,MAG,,11800000,P
117.O.a,6,117.O.a.6,0.326,more than 5,6,19,17,16,15,21,17.6,MAG,,88000000,P
117.O.b,1,117.O.b.1,0.03,1,6,2,1,4,2,1,2,,Highly contaminated in both dilutions. ,10000000,P
117.O.b,2,117.O.b.2,0.068,2,6,5,7,9,2,2,5,,Plate dilution 6 spot. ,25000000,P
117.O.b,3,117.O.b.3,0.076,2,6,2,2,3,C,C,,,Both dilutions contaminated,0,P
117.O.b,4,117.O.b.4,0.064,2,6,12,13,10,8,9,10.4,MAG,,52000000,P
117.O.b,5,117.O.b.5,0.177,more than 5,5,19,20,15,23,19,19.2,MAG,,9600000,P
117.O.b,6,117.O.b.6,0.138,more than 5,5,32,34,33,23,C,30.5,MAG,"There is growth in dil5, but there is a lot of contamination. Countable through the contamination",15250000,P
117.O.c,1,117.O.c.1,0.032,1,4,30,23,27,26,36,28.4,MAG,,1420000,P
117.O.c,2,117.O.c.2,0.073,2,5,10,7,14,7,,9.5,MAG,Both dilutions contaminated,4750000,P
117.O.c,3,117.O.c.3,0.098,4,,,,,,,#DIV/0!,,Both dilutions contaminated,#DIV/0!,P
117.O.c,4,117.O.c.4,0.094,3,5,17,20,11,15,22,17,MAG,,8500000,P
117.O.c,5,117.O.c.5,0.074,3,5,29,29,24,29,33,28.8,MAG,,14400000,P
117.O.c,6,117.O.c.6,0.259,more than 5,6,7,6,6,11,8,7.6,MAG,Uncountable din dil6,38000000,P
117.S.a,1,117.S.a.1,0.022,1,4,25,18,19,19,23,20.8,MAG,,1040000,P
117.S.a,2,117.S.a.2,0.019,1,,,,,,,#DIV/0!,,Empty plate. Try dil4. Maybe the plate was dry,#DIV/0!,P
117.S.a,3,117.S.a.3,0.033,1,4,31,32,33,c,21,29.25,MAG,,1462500,P
117.S.a,4,117.S.a.4,0.161,more than 5,,,,,,,#DIV/0!,,I see maybe very few colonies through contamination. Try dil4 in bigger plate,#DIV/0!,P
117.S.a,5,117.S.a.5,0.124,more than 5,5,C,11,C,C,C,11,,There is a lot of contamination but I can count one dot through the contamination. ,5500000,P
117.S.a,6,117.S.a.6,0.194,more than 5,6,2,1,2,1,2,1.6,MAG,,8000000,P
117.S.b,1,117.S.b.1,0.021,1,4,c,4,4,c,6,4.666666667,,,233333.3333,P
117.S.b,2,117.S.b.2,0.027,1,4,32,c,30,c,28,30,,Countable through contamination,1500000,P
117.S.b,3,117.S.b.3,0.035,1,,,,,,,#DIV/0!,,"Heave contamination, maybe dil6. Dil6 also has high contamination",#DIV/0!,P
117.S.b,4,117.S.b.4,0.06,2,6,2,1,2,1,3,1.8,MAG,,9000000,P
117.S.b,5,117.S.b.5,0.071,2,6,7,7,3,c,c,5.666666667,MAG,Countable through contamination,28333333.33,P
117.S.b,6,117.S.b.6,0.16,more than 5,5,4,3,C,8,C,5,MAG,,2500000,P
117.S.d,1,117.S.d.1,0.012,1,,,,,,,#DIV/0!,,Not rhizobia in dil3. Go up one dilution. Dil2 in big plate,#DIV/0!,P
117.S.d,2,117.S.d.2,0.017,2,3,6,3,2,2,6,3.8,MAG,,19000,P
117.S.d,3,117.S.d.3,0.023,2,3,12,17,13,9,16,13.4,MAG,,67000,P
117.S.d,4,117.S.d.4,0.03,2,,,,,,,#DIV/0!,,I don't see any rhizo in dil5. Maybe dil 4 in a bigger plate,#DIV/0!,P
117.S.d,5,117.S.d.5,0.13,5,6,13,10,C,15,14,13,MAG,,65000000,P
117.S.d,6,117.S.d.6,0.142,more than 5,6,7,C,C,C,7,7,MAG,,35000000,P
117.V.a,1,117.V.a.1,0.024,1,3,c,4,5,4,3,4,MAG,It was countable through the contamination,20000,P
117.V.a,2,117.V.a.2,0.038,2,3,c,7,9,11,c,9,MAG,It was countable through the contamination,45000,P
117.V.a,3,117.V.a.3,0.038,2,4,7,3,9,11,NA,7.5,,I can see a lot of rhizo in dil3 with the contaminants. After incubation I saw them in dil4. ,375000,P
117.V.a,4,117.V.a.4,0.034,1,4,NA,NA,NA,NA,NA,#DIV/0!,,There is cont but it is the contamination that allows count. Plate Dil4. I plated dil4 but I see mostly contamination ,#DIV/0!,P
117.V.a,5,117.V.a.5,0.049,more than 5,,,,,,,#DIV/0!,,Not rhizobia in dil5. There are contaminants. Move to dil4 in big plate,#DIV/0!,P
117.V.a,6,117.V.a.6,0.132,more than 5,,,,,,,#DIV/0!,,Not rhizobia in dil5. There is one contaminant. Dil4 in big plate.,#DIV/0!,P
117.V.b,1,117.V.b.1,0.016,1,,,,,,,#DIV/0!,,Not rhizobia in dil3. There are contaminants. Move to dil2 big plate.,#DIV/0!,P
117.V.b,2,117.V.b.2,0.039,1,6,3,10,5,9,12,7.8,,,39000000,P
117.V.b,3,117.V.b.3,0.055,2,6,8,10,5,5,5,6.6,,Heavy contamination. I don't see rhizo,33000000,P
117.V.b,4,117.V.b.4,0.073,4,,,,,,,#DIV/0!,,,#DIV/0!,P
117.V.b,5,117.V.b.5,0.121,4,6,c,6,4,4,2,4,MAG,Countable through contamination,20000000,P
117.V.b,6,117.V.b.6,0.276,more than 5,6,2,3,2,3,5,3,MAG,Countable through contamination,15000000,P
117.V.c,1,117.V.c.1,0.11,1,,,,,,,#DIV/0!,,Heave contamination. I don't see rhizo. needs dil2 in a big plate,#DIV/0!,P
117.V.c,2,117.V.c.2,0.02,1,3,6,5,5,5,5,5.2,MAG,,26000,P
117.V.c,3,117.V.c.3,0.035,2,3,C,19,19,18,17,18.25,MAG,,91250,P
117.V.c,4,117.V.c.4,0.054,2,,,,,,,#DIV/0!,,Contamination in dil5 is very dense so I can't see rhizo. ,#DIV/0!,P
117.V.c,5,117.V.c.5,0.08,2,5,20,12,8,6,14,12,MAG,,6000000,P
117.V.c,6,117.V.c.6,0.1,more than 5,6,C,1,2,C,1,1.333333333,MAG,,6666666.667,P
059.O.a,7,059.O.a.7,0.036,1,2,0,4,4,8,NA,,MAG,DSN,DSN: Done with stored nodules. Not reliable,
059.O.a,8,059.O.a.8,0.015,1,,,,,,,,,DSN,,
059.O.a,9,059.O.a.9,,,,,,,,,,,DSN,,
059.O.b,7,059.O.b.7,0.04,2,,,,,,,,,DSN,,
059.O.b,8,059.O.b.8,,,,,,,,,,,DSN,,
059.O.b,9,059.O.b.9,,,,,,,,,,,DSN,,
059.S.b,7,059.S.b.7,0.07,3,3,1,1,5,6,NA,,MAG,DSN,,
059.S.b,8,059.S.b.8,,,3,3,4,6,2,NA,,MAG,DSN,,
059.S.b,9,059.S.b.9,0.075,4,,,,,,,,,DSN,,
059.S.c,7,059.S.c.7,0.081,5,,,,,,,,,DSN,,
059.S.c,8,059.S.c.8,0.054,3,2,1,1,3,1,NA,,MAG,DSN,,
059.S.c,9,059.S.c.9,0.066,3,2,2,2,1,4,NA,,MAG,DSN,,
044.O.b,7,044.O.b.7,0.053,3,,,,,,,,,DSN,,
044.O.b,8,044.O.b.8,0.033,2,,,,,,,,,DSN,,
044.O.b,9,044.O.b.9,0.048,2,2,cont,cont,cont,cont,,,,DSN,,
044.O.a,7,044.O.a.7,0.177,More than 5,4,2,3,6,9,NA,,MAG,DSN,,
044.O.c,7,044.O.c.7,0.111,5,,,,,,,,,DSN,,
044.S.a,7,044.S.a.7,0.023,1,,,,,,,,,DSN,,
044.S.b,7,044.S.b.7,0.016,2,,,,,,,,,DSN,,
044.S.c,7,044.S.c.7,0.062,3,,,,,,,,,DSN,,
044.S.c,8,044.S.c.8,0.056,2,,,,,,,,,DSN,,
044.S.c,9,044.S.c.9,0.049,3,2,12,10,11,10,NA,,MAG,DSN,,
044.S.c,10,044.S.c.10,0.018,1,,,,,,,,,DSN,,
070.V.c,7,070.V.c.7,0.062,2,,,,,,,,,DSN,,
070.V.c,8,070.V.c.8,0.086,3,1,1,1,0,0,NA,,MAG,DSN,,
070.V.c,9,070.V.c.9,0.021,1,,,,,,,,,DSN,,
070.V.a,7,070.V.a.7,,,,,,,,,,,DSN,,
070.V.a,8,070.V.a.8,,,,,,,,,,,DSN,,
070.V.a,9,070.V.a.9,,,,,,,,,,,DSN,,
070.V.a,10,070.V.a.10,,,1,8,13,13,M,,,MAG,DSN,,
070.V.b,7,070.V.b.7,0.023,2,1,1,0,0,0,,,MAG,DSN,,
070.V.b,8,070.V.b.8,0.006,1,,,,,,,,,DSN,,
059.O.c,7,059.O.c.7,0.06,5,,,,,,,,,DSN,,
059.O.c,8,059.O.c.8,0.009,1,,,,,,,,,DSN,,
059.O.c,9,059.O.c.9,0.012,1,,,,,,,,,DSN,,