,Df,Sum Sq,Mean Sq,F value,Pr(>F),R2 - pulled from a different table
mean_chloro_avg~mean_prop_lobe+Strain,,,,,,0.538671649
mean_prop_lobe,1,2481.880532,2481.880532,68.91031429,8.39E-15,
Strain,116,7316.776054,63.07565564,1.751318485,0.000165481,
Residuals,233,8391.750495,36.01609654,NA,NA,
,,,,,,
Biomass_g~prop_lobe*Variety+Strain,,,,,,0.363320416
prop_lobe,1,4.8996459,4.8996459,81.02627027,1.16E-18,
Variety,2,6.558453706,3.279226853,54.22912731,4.79E-23,
Strain1,116,21.61963393,0.186376155,3.082133889,3.34E-21,
prop_lobe:Variety,2,0.22156137,0.110780685,1.831998868,0.160649598,
Residuals1,965,58.35339918,0.060469844,NA,NA,
,,,,,,
mean_biomass_g~mean_prop_lobe*Variety+Strain,,,,,,0.662467893
mean_prop_lobe1,1,2481.880532,2481.880532,92.56756628,1.28E-18,
Variety1,2,2307.552924,1153.776462,43.03280425,1.36E-16,
Strain2,116,7226.180124,62.29465624,2.323425582,3.10E-08,
mean_prop_lobe:Variety,2,34.94706518,17.47353259,0.651716457,0.52211431,
Residuals2,229,6139.846436,26.81155649,NA,NA,
,,,,,,
mean_biomass_g~mean_prop_lobe*Variety+Strain,,,,,,0.675342512
mean_prop_lobe2,1,2.124289364,2.124289364,82.16304698,5.75E-17,
Variety2,2,2.734242816,1.367121408,52.87738214,1.32E-19,
Strain3,116,7.33952044,0.063271728,2.447217428,4.43E-09,
mean_prop_lobe:Variety1,2,0.117992928,0.058996464,2.281859215,0.10441109,
Residuals3,229,5.920694063,0.025854559,NA,NA,
,,,,,,
mean_biomass_g~mean_nod_num*Variety+Strain,,,,,,0.68348494
mean_nod_num,1,1.199589511,1.199589511,47.59119021,5.08E-11,
Variety3,2,1.323080814,0.661540407,26.24522394,5.46E-11,
Strain4,116,9.941406187,0.085701777,3.400037726,1.51E-15,
mean_nod_num:Variety,2,0.000460368,0.000230184,0.009132072,0.990909859,
Residuals4,229,5.77220273,0.025206125,NA,NA,
,,,,,,
mean_chloro_avg~mean_nod_num*Variety+Strain,,,,,,0.659574259
mean_nod_num1,1,69.25414218,69.25414218,2.561040388,0.11090513,
Variety4,2,2126.098004,1063.049002,39.31189302,2.10E-15,
Strain5,116,9784.52754,84.34937534,3.119266952,1.14E-13,
mean_nod_num:Variety1,2,18.04459225,9.022296126,0.333647404,0.716653922,
Residuals5,229,6192.482803,27.04140962,NA,NA,