"Strain","Variety","Source_variety","Rep","Rootweight_g","Shootweight_g","Nod_lobe","Nod_unlobed","Label","Nod_count","prop_lobe","Biomass_g"
"099","O","ON","a",0.153,0.333,12,23,"099_O_a",35,0.342857142857143,0.486
"099","V","ON","a",0.146,0.343,10,15,"099_V_a",25,0.4,0.489
"099","V","ON","b",0.008,0.164,8,10,"099_V_b",18,0.444444444444444,0.172
"099","S","ON","b",0.199,0.391,4,47,"099_S_b",51,0.0784313725490196,0.59
"099","O","ON","b",0.236,0.349,20,3,"099_O_b",23,0.869565217391304,0.585
"099","O","ON","c",0.238,0.342,13,33,"099_O_c",46,0.282608695652174,0.58
"099","V","ON","c",0.032,0.157,14,24,"099_V_c",38,0.368421052631579,0.189
"099","O","ON","d",0.118,0.193,7,50,"099_O_d",57,0.12280701754386,0.311
"099","V","ON","d",0.215,0.38,9,16,"099_V_d",25,0.36,0.595
"100","V","ON","a",0.066,0.199,19,42,"100_V_a",61,0.311475409836066,0.265
"100","O","ON","a",0.043,0.075,4,51,"100_O_a",55,0.0727272727272727,0.118
"100","O","ON","b",0.144,0.295,11,29,"100_O_b",40,0.275,0.439
"100","V","ON","b",0.076,0.339,11,24,"100_V_b",35,0.314285714285714,0.415
"100","V","ON","c",0.005,0.025,6,3,"100_V_c",9,0.666666666666667,0.03
"100","S","ON","c",0.299,0.582,21,15,"100_S_c",36,0.583333333333333,0.881
"100","O","ON","c",0.176,0.338,34,89,"100_O_c",123,0.276422764227642,0.514
"100","V","ON","d",0.03,0.056,25,7,"100_V_d",32,0.78125,0.086
"100","O","ON","d",0.131,0.312,4,32,"100_O_d",36,0.111111111111111,0.443
"100","S","ON","d",0.389,0.654,31,41,"100_S_d",72,0.430555555555556,1.043
"101","V","ON","a",0.067,0.174,6,13,"101_V_a",19,0.31578947368421,0.241
"101","O","ON","a",0.098,0.241,17,38,"101_O_a",55,0.309090909090909,0.339
"101","S","ON","a",0.183,0.369,11,31,"101_S_a",42,0.261904761904762,0.552
"101","S","ON","b",0.096,0.135,6,49,"101_S_b",55,0.109090909090909,0.231
"101","O","ON","b",0.151,0.283,3,123,"101_O_b",126,0.0238095238095238,0.434
"101","V","ON","b",0.255,0.382,11,15,"101_V_b",26,0.423076923076923,0.637
"101","V","ON","c",0.17,0.439,4,9,"101_V_c",13,0.307692307692308,0.609
"101","O","ON","c",0.064,0.17,22,30,"101_O_c",52,0.423076923076923,0.234
"101","O","ON","d",0.327,0.399,17,34,"101_O_d",51,0.333333333333333,0.726
"101","V","ON","d",0.09,0.202,5,40,"101_V_d",45,0.111111111111111,0.292
"102","O","ON","a",0.063,0.068,2,71,"102_O_a",73,0.0273972602739726,0.131
"102","S","ON","a",0.193,0.308,13,35,"102_S_a",48,0.270833333333333,0.501
"102","V","ON","a",0.091,0.128,7,34,"102_V_a",41,0.170731707317073,0.219
"102","S","ON","b",0.261,0.471,16,62,"102_S_b",78,0.205128205128205,0.732
"102","V","ON","b",0.241,0.325,6,40,"102_V_b",46,0.130434782608696,0.566
"102","O","ON","b",0.354,0.539,3,77,"102_O_b",80,0.0375,0.893
"102","V","ON","c",0.066,0.212,10,37,"102_V_c",47,0.212765957446809,0.278
"102","O","ON","c",0.257,0.479,17,44,"102_O_c",61,0.278688524590164,0.736
"102","O","ON","d",0.104,0.233,10,11,"102_O_d",21,0.476190476190476,0.337
"102","V","ON","d",0.337,0.376,14,39,"102_V_d",53,0.264150943396226,0.713
"103","S","ON","a",0.557,0.441,17,16,"103_S_a",33,0.515151515151515,0.998
"103","O","ON","a",0.066,0.149,8,6,"103_O_a",14,0.571428571428571,0.215
"103","V","ON","a",0.041,0.08,6,14,"103_V_a",20,0.3,0.121
"103","S","ON","b",0.293,0.454,25,37,"103_S_b",62,0.403225806451613,0.747
"103","V","ON","b",0.008,0.132,4,4,"103_V_b",8,0.5,0.14
"103","O","ON","b",0.127,0.286,4,3,"103_O_b",7,0.571428571428571,0.413
"103","V","ON","c",0.034,0.123,2,23,"103_V_c",25,0.08,0.157
"103","O","ON","c",0.076,0.168,9,14,"103_O_c",23,0.391304347826087,0.244
"103","V","ON","d",0.045,0.093,5,30,"103_V_d",35,0.142857142857143,0.138
"103","O","ON","d",0.345,0.546,16,54,"103_O_d",70,0.228571428571429,0.891
"104","S","ON","a",0.578,0.637,10,44,"104_S_a",54,0.185185185185185,1.215
"104","V","ON","a",0.116,0.265,7,3,"104_V_a",10,0.7,0.381
"104","O","ON","a",0.29,0.399,17,13,"104_O_a",30,0.566666666666667,0.689
"104","O","ON","b",0.31,0.628,18,40,"104_O_b",58,0.310344827586207,0.938
"104","V","ON","b",0.349,0.397,9,13,"104_V_b",22,0.409090909090909,0.746
"104","S","ON","b",0.173,0.489,14,27,"104_S_b",41,0.341463414634146,0.662
"104","S","ON","c",0.121,0.291,4,18,"104_S_c",22,0.181818181818182,0.412
"104","O","ON","c",0.642,0.719,22,10,"104_O_c",32,0.6875,1.361
"104","O","ON","d",0.848,0.604,13,5,"104_O_d",18,0.722222222222222,1.452
"105","V","ON","a",0.242,0.544,8,10,"105_V_a",18,0.444444444444444,0.786
"105","S","ON","a",0.398,0.475,20,72,"105_S_a",92,0.217391304347826,0.873
"105","O","ON","a",0.085,0.191,9,17,"105_O_a",26,0.346153846153846,0.276
"105","O","ON","b",0.179,0.365,11,42,"105_O_b",53,0.207547169811321,0.544
"105","S","ON","b",0.306,0.422,14,19,"105_S_b",33,0.424242424242424,0.728
"105","V","ON","b",0.189,0.436,10,24,"105_V_b",34,0.294117647058824,0.625
"105","O","ON","c",0.227,0.526,19,25,"105_O_c",44,0.431818181818182,0.753
"105","V","ON","c",0.066,0.172,9,4,"105_V_c",13,0.692307692307692,0.238
"105","V","ON","d",0.544,0.67,10,11,"105_V_d",21,0.476190476190476,1.214
"106","S","SN","a",0.259,0.38,12,20,"106_S_a",32,0.375,0.639
"106","O","SN","a",0.149,0.233,6,41,"106_O_a",47,0.127659574468085,0.382
"106","V","SN","a",0.27,0.483,10,13,"106_V_a",23,0.434782608695652,0.753
"106","S","SN","b",0.06,0.129,8,22,"106_S_b",30,0.266666666666667,0.189
"106","V","SN","b",0.123,0.343,19,10,"106_V_b",29,0.655172413793103,0.466
"106","O","SN","b",0.178,0.423,7,30,"106_O_b",37,0.189189189189189,0.601
"106","V","SN","c",0.111,0.236,10,8,"106_V_c",18,0.555555555555556,0.347
"106","S","SN","c",0.189,0.357,18,36,"106_S_c",54,0.333333333333333,0.546
"106","O","SN","c",0.21,0.398,10,33,"106_O_c",43,0.232558139534884,0.608
"106","O","SN","d",0.226,0.445,12,39,"106_O_d",51,0.235294117647059,0.671
"106","V","SN","d",0.269,0.431,21,30,"106_V_d",51,0.411764705882353,0.7
"107","S","SN","a",0.571,0.471,18,20,"107_S_a",38,0.473684210526316,1.042
"107","O","SN","a",0.159,0.239,5,19,"107_O_a",24,0.208333333333333,0.398
"107","V","SN","a",0.121,0.28,8,9,"107_V_a",17,0.470588235294118,0.401
"107","S","SN","b",0.465,0.642,16,21,"107_S_b",37,0.432432432432432,1.107
"107","V","SN","b",0.511,0.586,8,31,"107_V_b",39,0.205128205128205,1.097
"107","O","SN","b",0.094,0.264,9,9,"107_O_b",18,0.5,0.358
"107","O","SN","c",0.311,0.512,18,35,"107_O_c",53,0.339622641509434,0.823
"107","V","SN","c",0.108,0.5,9,1,"107_V_c",10,0.9,0.608
"107","V","SN","d",0.206,0.289,13,10,"107_V_d",23,0.565217391304348,0.495
"107","O","SN","d",0.587,0.403,11,16,"107_O_d",27,0.407407407407407,0.99
"108","S","SN","a",0.218,0.324,23,35,"108_S_a",58,0.396551724137931,0.542
"108","V","SN","a",0.201,0.267,12,12,"108_V_a",24,0.5,0.468
"108","O","SN","a",0.283,0.471,17,16,"108_O_a",33,0.515151515151515,0.754
"108","O","SN","b",0.062,0.093,12,7,"108_O_b",19,0.631578947368421,0.155
"108","V","SN","b",0.035,0.066,9,9,"108_V_b",18,0.5,0.101
"108","O","SN","c",0.493,0.433,18,10,"108_O_c",28,0.642857142857143,0.926
"108","V","SN","c",0.241,0.275,14,33,"108_V_c",47,0.297872340425532,0.516
"108","V","SN","d",0.162,0.266,5,11,"108_V_d",16,0.3125,0.428
"108","S","SN","d",0.319,0.292,15,3,"108_S_d",18,0.833333333333333,0.611
"108","O","SN","d",0.403,0.543,27,24,"108_O_d",51,0.529411764705882,0.946
"109","O","SN","a",0.11,0.161,5,15,"109_O_a",20,0.25,0.271
"109","S","SN","a",0.029,0.139,5,7,"109_S_a",12,0.416666666666667,0.168
"109","V","SN","a",0.035,0.083,3,26,"109_V_a",29,0.103448275862069,0.118
"109","S","SN","b",0.076,0.189,18,53,"109_S_b",71,0.253521126760563,0.265
"109","V","SN","b",0.122,0.219,7,31,"109_V_b",38,0.184210526315789,0.341
"109","O","SN","b",0.022,0.071,6,8,"109_O_b",14,0.428571428571429,0.093
"109","O","SN","c",0.277,0.49,5,13,"109_O_c",18,0.277777777777778,0.767
"109","V","SN","c",0.17,0.323,9,9,"109_V_c",18,0.5,0.493
"109","O","SN","d",0.022,0.03,2,24,"109_O_d",26,0.0769230769230769,0.052
"109","V","SN","d",0.316,0.42,17,37,"109_V_d",54,0.314814814814815,0.736
"110","O","SN","a",0,0.008,1,0,"110_O_a",1,1,0.008
"110","S","SN","a",0.454,0.492,9,20,"110_S_a",29,0.310344827586207,0.946
"110","V","SN","a",0.027,0.063,6,8,"110_V_a",14,0.428571428571429,0.09
"110","S","SN","b",0.07,0.131,5,44,"110_S_b",49,0.102040816326531,0.201
"110","V","SN","b",0.067,0.243,2,32,"110_V_b",34,0.0588235294117647,0.31
"110","O","SN","c",0.134,0.174,5,35,"110_O_c",40,0.125,0.308
"110","V","SN","c",0.21,0.447,15,25,"110_V_c",40,0.375,0.657
"110","V","SN","d",0.044,0.095,9,19,"110_V_d",28,0.321428571428571,0.139
"110","O","SN","d",0.002,0.001,0,4,"110_O_d",4,0,0.003
"111","V","SN","a",0.061,0.187,5,23,"111_V_a",28,0.178571428571429,0.248
"111","O","SN","a",0.148,0.229,13,18,"111_O_a",31,0.419354838709677,0.377
"111","S","SN","a",0.69,0.731,35,31,"111_S_a",66,0.53030303030303,1.421
"111","O","SN","b",0.06,0.119,3,3,"111_O_b",6,0.5,0.179
"111","V","SN","b",0.521,0.629,21,28,"111_V_b",49,0.428571428571429,1.15
"111","S","SN","b",0.37,0.596,16,10,"111_S_b",26,0.615384615384615,0.966
"111","V","SN","c",0.12,0.417,14,6,"111_V_c",20,0.7,0.537
"111","O","SN","c",0.138,0.272,19,16,"111_O_c",35,0.542857142857143,0.41
"111","O","SN","d",0.145,0.381,12,10,"111_O_d",22,0.545454545454545,0.526
"111","V","SN","d",0.261,0.44,10,25,"111_V_d",35,0.285714285714286,0.701
"112","V","SN","a",0.124,0.294,14,10,"112_V_a",24,0.583333333333333,0.418
"112","O","SN","a",0.236,0.237,6,23,"112_O_a",29,0.206896551724138,0.473
"112","S","SN","a",0.312,0.319,33,12,"112_S_a",45,0.733333333333333,0.631
"112","S","SN","b",0.213,0.375,11,34,"112_S_b",45,0.244444444444444,0.588
"112","V","SN","b",0.289,0.492,14,7,"112_V_b",21,0.666666666666667,0.781
"112","O","SN","b",0.118,0.357,19,6,"112_O_b",25,0.76,0.475
"112","O","SN","c",0.306,0.276,8,3,"112_O_c",11,0.727272727272727,0.582
"112","V","SN","c",0.322,0.474,29,14,"112_V_c",43,0.674418604651163,0.796
"112","S","SN","c",0.168,0.364,19,50,"112_S_c",69,0.27536231884058,0.532
"112","S","SN","d",0.297,0.345,11,26,"112_S_d",37,0.297297297297297,0.642
"112","O","SN","d",0.185,0.439,14,17,"112_O_d",31,0.451612903225806,0.624
"113","V","SN","a",0.024,0.111,6,30,"113_V_a",36,0.166666666666667,0.135
"113","O","SN","a",0.163,0.237,16,82,"113_O_a",98,0.163265306122449,0.4
"113","O","SN","b",0.093,0.164,7,23,"113_O_b",30,0.233333333333333,0.257
"113","S","SN","b",0.002,0.063,3,23,"113_S_b",26,0.115384615384615,0.065
"113","V","SN","b",0.035,0.082,2,7,"113_V_b",9,0.222222222222222,0.117
"113","S","SN","c",0.239,0.376,17,35,"113_S_c",52,0.326923076923077,0.615
"113","O","SN","c",0.071,0.082,2,52,"113_O_c",54,0.037037037037037,0.153
"113","V","SN","c",0.21,0.48,25,34,"113_V_c",59,0.423728813559322,0.69
"113","V","SN","d",0.102,0.156,12,36,"113_V_d",48,0.25,0.258
"113","O","SN","d",0.025,0.03,0,44,"113_O_d",44,0,0.055
"113","S","SN","d",0.054,0.112,8,18,"113_S_d",26,0.307692307692308,0.166
"114","O","SN","a",0.358,0.521,14,56,"114_O_a",70,0.2,0.879
"114","S","SN","a",0.28,0.425,27,76,"114_S_a",103,0.262135922330097,0.705
"114","V","SN","a",0.048,0.168,6,12,"114_V_a",18,0.333333333333333,0.216
"114","O","SN","b",0.123,0.212,8,29,"114_O_b",37,0.216216216216216,0.335
"114","V","SN","b",0.187,0.356,14,16,"114_V_b",30,0.466666666666667,0.543
"114","S","SN","b",0.002,0.016,1,14,"114_S_b",15,0.0666666666666667,0.018
"114","S","SN","c",0.323,0.459,33,71,"114_S_c",104,0.317307692307692,0.782
"114","V","SN","c",0.145,0.279,15,64,"114_V_c",79,0.189873417721519,0.424
"114","O","SN","c",0.117,0.23,9,24,"114_O_c",33,0.272727272727273,0.347
"114","O","SN","d",0.153,0.202,8,21,"114_O_d",29,0.275862068965517,0.355
"114","V","SN","d",0.192,0.328,21,45,"114_V_d",66,0.318181818181818,0.52
"114","S","SN","d",0.136,0.203,5,52,"114_S_d",57,0.087719298245614,0.339
"115","V","VL","a",0.008,0.069,3,16,"115_V_a",19,0.157894736842105,0.077
"115","O","VL","a",0.181,0.322,16,18,"115_O_a",34,0.470588235294118,0.503
"115","V","VL","b",0.131,0.238,6,16,"115_V_b",22,0.272727272727273,0.369
"115","O","VL","b",0.138,0.386,10,44,"115_O_b",54,0.185185185185185,0.524
"115","V","VL","c",0.052,0.126,3,15,"115_V_c",18,0.166666666666667,0.178
"115","O","VL","c",0.378,0.61,21,31,"115_O_c",52,0.403846153846154,0.988
"115","S","VL","c",0.376,0.617,21,12,"115_S_c",33,0.636363636363636,0.993
"115","V","VL","d",0.433,0.574,39,12,"115_V_d",51,0.764705882352941,1.007
"115","S","VL","d",0.065,0.128,5,86,"115_S_d",91,0.0549450549450549,0.193
"115","O","VL","d",0.223,0.37,10,23,"115_O_d",33,0.303030303030303,0.593
"116","S","VL","a",0.294,0.424,7,99,"116_S_a",106,0.0660377358490566,0.718
"116","V","VL","a",0.289,0.392,8,14,"116_V_a",22,0.363636363636364,0.681
"116","O","VL","a",0.12,0.145,10,34,"116_O_a",44,0.227272727272727,0.265
"116","O","VL","b",0.044,0.108,6,34,"116_O_b",40,0.15,0.152
"116","S","VL","b",0.189,0.316,9,11,"116_S_b",20,0.45,0.505
"116","V","VL","b",0.12,0.345,13,6,"116_V_b",19,0.68421052631579,0.465
"116","O","VL","c",0.177,0.415,14,55,"116_O_c",69,0.202898550724638,0.592
"116","V","VL","c",0.346,0.667,15,24,"116_V_c",39,0.384615384615385,1.013
"116","S","VL","c",0.412,0.673,32,58,"116_S_c",90,0.355555555555556,1.085
"116","O","VL","d",0.467,0.383,14,23,"116_O_d",37,0.378378378378378,0.85
"116","V","VL","d",0.534,0.567,19,12,"116_V_d",31,0.612903225806452,1.101
"117","V","VL","a",0.229,0.411,10,17,"117_V_a",27,0.37037037037037,0.64
"117","O","VL","a",0.194,0.502,12,6,"117_O_a",18,0.666666666666667,0.696
"117","S","VL","a",0.42,0.721,18,43,"117_S_a",61,0.295081967213115,1.141
"117","S","VL","b",0.426,0.567,13,6,"117_S_b",19,0.68421052631579,0.993
"117","V","VL","b",0.18,0.426,13,15,"117_V_b",28,0.464285714285714,0.606
"117","O","VL","b",0.278,0.555,24,17,"117_O_b",41,0.585365853658537,0.833
"117","O","VL","c",0.365,0.526,17,18,"117_O_c",35,0.485714285714286,0.891
"117","V","VL","c",0.189,0.343,12,12,"117_V_c",24,0.5,0.532
"117","V","VL","d",0.068,0.234,2,9,"117_V_d",11,0.181818181818182,0.302
"117","O","VL","d",0.334,0.43,18,11,"117_O_d",29,0.620689655172414,0.764
"117","S","VL","d",0.207,0.343,8,25,"117_S_d",33,0.242424242424242,0.55
"118","S","VL","a",0.002,0.004,0,54,"118_S_a",54,0,0.006
"118","O","VL","a",0.003,0.003,1,29,"118_O_a",30,0.0333333333333333,0.006
"118","V","VL","a",0.032,0.004,0,30,"118_V_a",30,0,0.036
"118","V","VL","b",0.002,0.018,1,44,"118_V_b",45,0.0222222222222222,0.02
"118","O","VL","b",0.002,0.004,0,12,"118_O_b",12,0,0.006
"118","S","VL","b",0.006,0.006,0,75,"118_S_b",75,0,0.012
"118","V","VL","c",0,0.006,0,10,"118_V_c",10,0,0.006
"118","O","VL","c",0.007,0.013,0,52,"118_O_c",52,0,0.02
"118","S","VL","c",0.009,0.001,0,115,"118_S_c",115,0,0.01
"118","V","VL","d",0.008,0.003,2,38,"118_V_d",40,0.05,0.011
"118","O","VL","d",0.001,0.001,0,14,"118_O_d",14,0,0.002
"119","V","VL","a",0.196,0.349,8,14,"119_V_a",22,0.363636363636364,0.545
"119","S","VL","a",0.526,0.512,26,21,"119_S_a",47,0.553191489361702,1.038
"119","O","VL","a",0.408,0.538,21,6,"119_O_a",27,0.777777777777778,0.946
"119","O","VL","b",0.265,0.312,6,5,"119_O_b",11,0.545454545454545,0.577
"119","S","VL","b",0.093,0.299,14,12,"119_S_b",26,0.538461538461538,0.392
"119","V","VL","b",0.29,0.573,13,14,"119_V_b",27,0.481481481481481,0.863
"119","O","VL","c",0.388,0.649,15,21,"119_O_c",36,0.416666666666667,1.037
"119","V","VL","c",0.438,0.564,14,22,"119_V_c",36,0.388888888888889,1.002
"119","S","VL","c",0.545,0.654,56,179,"119_S_c",235,0.238297872340426,1.199
"119","V","VL","d",0.199,0.528,22,7,"119_V_d",29,0.758620689655172,0.727
"119","O","VL","d",0.148,0.202,6,20,"119_O_d",26,0.230769230769231,0.35
"120","O","VL","a",0.185,0.214,4,4,"120_O_a",8,0.5,0.399
"120","S","VL","a",0.457,0.613,20,12,"120_S_a",32,0.625,1.07
"120","V","VL","b",0.099,0.24,9,11,"120_V_b",20,0.45,0.339
"120","S","VL","b",0.007,0.046,2,13,"120_S_b",15,0.133333333333333,0.053
"120","O","VL","b",0.108,0.235,21,33,"120_O_b",54,0.388888888888889,0.343
"120","O","VL","c",0.284,0.385,23,86,"120_O_c",109,0.211009174311927,0.669
"120","V","VL","c",0.157,0.263,15,8,"120_V_c",23,0.652173913043478,0.42
"120","V","VL","d",0.206,0.483,16,23,"120_V_d",39,0.41025641025641,0.689
"120","O","VL","d",0.41,0.532,23,14,"120_O_d",37,0.621621621621622,0.942
"120","S","VL","d",0.455,0.502,9,33,"120_S_d",42,0.214285714285714,0.957
"121","O","VL","a",0.062,0.194,8,3,"121_O_a",11,0.727272727272727,0.256
"121","V","VL","a",0,0.004,0,3,"121_V_a",3,0,0.004
"121","S","VL","b",0.002,0.013,1,3,"121_S_b",4,0.25,0.015
"121","V","VL","b",0.001,0.007,1,12,"121_V_b",13,0.0769230769230769,0.008
"121","O","VL","c",0.071,0.245,2,2,"121_O_c",4,0.5,0.316
"121","S","VL","c",0.004,0.023,2,1,"121_S_c",3,0.666666666666667,0.027
"121","O","VL","d",0.183,0.327,10,12,"121_O_d",22,0.454545454545455,0.51
"121","V","VL","d",0.051,0.089,3,6,"121_V_d",9,0.333333333333333,0.14
"121","S","VL","d",0.373,0.502,5,0,"121_S_d",5,1,0.875
"122","S","VL","a",0.174,0.283,10,82,"122_S_a",92,0.108695652173913,0.457
"122","V","VL","a",0.193,0.378,21,43,"122_V_a",64,0.328125,0.571
"122","O","VL","a",0.11,0.181,9,58,"122_O_a",67,0.134328358208955,0.291
"122","V","VL","b",0.109,0.308,7,75,"122_V_b",82,0.0853658536585366,0.417
"122","S","VL","b",0.256,0.528,18,50,"122_S_b",68,0.264705882352941,0.784
"122","O","VL","b",0.067,0.139,2,18,"122_O_b",20,0.1,0.206
"122","O","VL","c",0.162,0.436,21,17,"122_O_c",38,0.552631578947368,0.598
"122","V","VL","c",0.166,0.37,6,27,"122_V_c",33,0.181818181818182,0.536
"122","O","VL","d",0.131,0.272,24,46,"122_O_d",70,0.342857142857143,0.403
"122","V","VL","d",0.274,0.595,19,20,"122_V_d",39,0.487179487179487,0.869
"123","V","VL","a",0.082,0.221,10,43,"123_V_a",53,0.188679245283019,0.303
"123","O","VL","a",0.122,0.184,10,41,"123_O_a",51,0.196078431372549,0.306
"123","S","VL","a",0.005,0.015,6,49,"123_S_a",55,0.109090909090909,0.02
"123","V","VL","b",0.05,0.096,2,26,"123_V_b",28,0.0714285714285714,0.146
"123","O","VL","b",0.087,0.162,11,7,"123_O_b",18,0.611111111111111,0.249
"123","S","VL","b",0.024,0.054,1,26,"123_S_b",27,0.037037037037037,0.078
"123","V","VL","c",0.036,0.09,1,58,"123_V_c",59,0.0169491525423729,0.126
"123","S","VL","c",0.069,0.143,3,100,"123_S_c",103,0.029126213592233,0.212
"123","O","VL","c",0.098,0.172,16,8,"123_O_c",24,0.666666666666667,0.27
"123","O","VL","d",0.356,0.481,19,59,"123_O_d",78,0.243589743589744,0.837
"123","V","VL","d",0.167,0.399,7,23,"123_V_d",30,0.233333333333333,0.566
